incident_id,title,description,priority,status,reported_by,reported_date,resolved_by,resolved_date,resolution_notes,affected_app,affected_microservice,cpu_usage,memory_usage,related_incidents,kb_article_id
INC941062,Notification failure in Payment Service,Connection attempts to Payment Service are timing out.,High,In Progress,Nancy Curtis,11-06-2024 06:30,,,,Backend API,Payment Service,67.46,43.81,"INC053144, INC637642",KB074
INC573964,Notification failure in Auth Service,"Auth Service is unresponsive, causing service degradation.",High,Resolved,William Rice,31-10-2024 17:47,Joshua Allison,27-11-2024 15:38,Fixed memory leak in Auth Service.,Mobile Banking App,Auth Service,39.6,10.4,,
INC840355,Failed transactions in Payment Service,"Payment Service is consuming excessive memory, causing system slowdowns.",High,Resolved,Timothy Krueger,08-07-2024 05:07,Kevin Brewer,20-02-2025 12:53,Restarted Payment Service.,Online Banking App,Payment Service,89.76,39.99,,
INC018523,Memory leak in Payment Service,Notifications from Payment Service are not being delivered to users.,Low,Resolved,Michael Baker,31-05-2024 03:41,Ashley Smith,18-03-2025 03:22,Fixed memory leak in Payment Service.,Mobile Banking App,Payment Service,21.64,22.61,"INC892762, INC908090",KB070
INC186910,Database B connection timeout,A deadlock in Database B is blocking critical operations.,Medium,Resolved,John Cruz,17-08-2024 18:17,Jennifer Thompson,30-12-2024 05:52,Restarted Database B.,Online Banking App,Database B,51.09,72.43,,KB073
INC302619,Notification failure in Notification Service,"Notification Service is unresponsive, causing service degradation.",Medium,Open,Daniel Lee,07-01-2025 20:18,,,,Online Banking App,Notification Service,54.57,80.14,,KB031
INC787205,Payment Service connection timeout,Connection attempts to Payment Service are timing out.,Medium,Resolved,Sherri Camacho,30-09-2024 16:27,Craig Reyes,25-02-2025 17:53,Restarted Payment Service.,Backend API,Payment Service,58.97,97.29,,KB053
INC909012,Notification Service not responding,A deadlock in Notification Service is blocking critical operations.,Low,Resolved,Terri Rodgers,04-10-2024 09:33,Jill Hood,16-12-2024 17:52,Resolved database deadlock in Notification Service.,Backend API,Notification Service,22.96,26.16,,KB007
INC715886,High CPU usage on Database B,A deadlock in Database B is blocking critical operations.,Medium,Open,Robert Schneider,30-10-2024 10:10,,,,Backend API,Database B,40.91,39.25,,KB009
INC940395,Payment Service connection timeout,Connection attempts to Payment Service are timing out.,High,In Progress,Joshua Sullivan,31-10-2024 16:47,,,,Online Banking App,Payment Service,64.41,27.2,"INC720878, INC541568",KB076
INC562228,Auth Service not responding,A deadlock in Auth Service is blocking critical operations.,High,In Progress,Angela Nguyen,11-02-2025 10:21,,,,Online Banking App,Auth Service,41.56,23.65,,KB099
INC932428,API latency spike in Notification Service,Connection attempts to Notification Service are timing out.,Medium,Resolved,Rebecca Haas,08-07-2024 06:08,Andrea Davis,06-08-2024 06:54,Resolved database deadlock in Notification Service.,Mobile Banking App,Notification Service,13.31,45.19,,KB070
INC442190,Notification Service connection timeout,"Notification Service is unresponsive, causing service degradation.",Low,Resolved,Kara Chavez,21-02-2025 00:26,Kelly Hall,10-03-2025 17:05,Resolved database deadlock in Notification Service.,Backend API,Notification Service,83.15,39.41,"INC020438, INC102903",KB021
INC540081,Database deadlock in Payment Service,Users are experiencing high latency when accessing Payment Service.,Medium,In Progress,Shelly Ray,09-09-2024 17:15,,,,Backend API,Payment Service,28.78,42.38,"INC089858, INC788881",KB100
INC723030,Memory leak in Notification Service,A deadlock in Notification Service is blocking critical operations.,Medium,Open,Christina Martinez,05-06-2024 18:31,,,,Mobile Banking App,Notification Service,30.45,77.64,,KB041
INC278472,Memory leak in Notification Service,"Notification Service is unresponsive, causing service degradation.",Medium,In Progress,Patrick Smith,17-04-2024 08:13,,,,Backend API,Notification Service,66.02,49.26,"INC803078, INC600774",
INC034544,Memory leak in Auth Service,A deadlock in Auth Service is blocking critical operations.,Low,Resolved,Lori Ford,27-04-2024 02:15,Michael Stevens,10-03-2025 09:33,Restarted Auth Service.,Online Banking App,Auth Service,91.53,92.78,,KB098
INC506638,Database deadlock in Payment Service,"Payment Service is consuming excessive memory, causing system slowdowns.",High,Open,Renee Schultz,05-05-2024 01:13,,,,Online Banking App,Payment Service,83.99,30.93,,KB011
INC506876,High CPU usage on Notification Service,A deadlock in Notification Service is blocking critical operations.,High,Resolved,Debra Mcgee,03-03-2025 02:37,Eileen Turner,21-03-2025 05:49,Fixed memory leak in Notification Service.,Backend API,Notification Service,56.61,63.51,"INC857864, INC439844",KB092
INC868176,Memory leak in Database B,Users are experiencing high latency when accessing Database B.,Critical,Resolved,Jackie Brandt,20-10-2024 23:48,William Lara,11-12-2024 15:07,Restarted Database B.,Online Banking App,Database B,56.54,33.62,,
INC823696,Notification Service connection timeout,Users are experiencing high latency when accessing Notification Service.,Low,Open,Alison Conley,14-07-2024 21:04,,,,Backend API,Notification Service,99.45,87.63,,KB057
INC025292,API latency spike in Database B,Connection attempts to Database B are timing out.,High,In Progress,Ryan Sims,08-11-2024 22:19,,,,Backend API,Database B,67.39,29.7,,
INC287281,Database deadlock in Payment Service,Notifications from Payment Service are not being delivered to users.,Medium,Resolved,Kyle Hardin,06-11-2024 07:06,Erika Williams,07-01-2025 06:06,Resolved database deadlock in Payment Service.,Mobile Banking App,Payment Service,37.36,80.6,"INC715044, INC959118",KB093
INC865477,High CPU usage on Auth Service,Users are experiencing high latency when accessing Auth Service.,Low,Resolved,Felicia Skinner,15-09-2024 09:43,Michele Cole,04-03-2025 16:13,Restarted Auth Service.,Backend API,Auth Service,35.84,66.21,"INC586325, INC839999",KB078
INC060500,Notification failure in Database B,API requests to Database B are failing with 500 errors.,Low,Resolved,Kelly Edwards,25-11-2024 08:14,Betty Smith,11-12-2024 08:59,Restarted Database B.,Mobile Banking App,Database B,28.51,17.81,,
INC062192,API latency spike in Database B,"Database B is consuming excessive memory, causing system slowdowns.",Low,Open,Mark White,25-03-2024 00:24,,,,Backend API,Database B,29.85,68.53,,
INC516291,API latency spike in Payment Service,Users are experiencing high latency when accessing Payment Service.,Low,In Progress,Anne Suarez,18-05-2024 06:14,,,,Mobile Banking App,Payment Service,49.31,83.47,,
INC017983,Memory leak in Auth Service,A deadlock in Auth Service is blocking critical operations.,Medium,In Progress,Joseph Perkins,04-11-2024 20:22,,,,Online Banking App,Auth Service,62.77,17.12,,KB082
INC161157,Memory leak in Auth Service,Transactions in Auth Service are failing due to database issues.,Low,In Progress,Samantha Jackson,18-11-2024 06:19,,,,Online Banking App,Auth Service,52.21,48.54,"INC717129, INC912191",KB040
INC684809,Memory leak in Payment Service,"Payment Service is consuming excessive memory, causing system slowdowns.",High,Open,Dr. Todd Garner DVM,03-01-2025 01:15,,,,Backend API,Payment Service,56.07,31.16,,
INC349194,High CPU usage on Notification Service,Transactions in Notification Service are failing due to database issues.,Low,In Progress,Emily Carpenter,16-08-2024 03:04,,,,Backend API,Notification Service,74.52,21.5,"INC866682, INC288592",KB069
INC652605,Payment Service connection timeout,API requests to Payment Service are failing with 500 errors.,Low,Resolved,Christopher Watts,09-01-2025 10:59,Adam Ferrell,29-01-2025 15:22,Restarted Payment Service.,Mobile Banking App,Payment Service,34.06,36.94,,KB007
INC244904,API latency spike in Payment Service,Users are experiencing high latency when accessing Payment Service.,Medium,Open,Steven Wright,21-03-2024 22:02,,,,Online Banking App,Payment Service,72.88,96.61,,KB026
INC234486,Failed transactions in Notification Service,API requests to Notification Service are failing with 500 errors.,Low,Resolved,Ryan Wilson,08-10-2024 12:48,Annette Roman,09-03-2025 17:56,Restarted Notification Service.,Online Banking App,Notification Service,27.6,17.92,,KB077
INC242634,API latency spike in Notification Service,"Notification Service is unresponsive, causing service degradation.",Medium,Open,Dan Smith,17-03-2025 14:32,,,,Mobile Banking App,Notification Service,43.99,34.96,,
INC329209,Payment Service not responding,Transactions in Payment Service are failing due to database issues.,High,Open,Susan Dixon,30-03-2024 15:25,,,,Online Banking App,Payment Service,27.93,89.57,,
INC858633,Database deadlock in Payment Service,Connection attempts to Payment Service are timing out.,High,In Progress,Laura Avila,16-06-2024 02:35,,,,Mobile Banking App,Payment Service,28.31,55.57,,KB054
INC207372,High CPU usage on Database B,Notifications from Database B are not being delivered to users.,Medium,Open,Jared Jones,21-10-2024 18:29,,,,Online Banking App,Database B,28.03,48.58,,
INC882729,High CPU usage on Auth Service,Notifications from Auth Service are not being delivered to users.,Medium,Resolved,James Christensen,26-03-2024 17:48,Mark Beltran,20-08-2024 01:02,Resolved database deadlock in Auth Service.,Mobile Banking App,Auth Service,82.85,70.36,,KB085
INC392385,API latency spike in Database B,"Database B is unresponsive, causing service degradation.",Critical,In Progress,Eric Stanley,08-09-2024 01:00,,,,Backend API,Database B,25.1,79.07,,KB078
INC764675,Notification failure in Database B,Connection attempts to Database B are timing out.,Low,Open,Hunter Barnes,08-06-2024 23:08,,,,Mobile Banking App,Database B,51.32,94.69,,
INC282779,Notification Service not responding,A deadlock in Notification Service is blocking critical operations.,Critical,Resolved,Crystal Stone,08-06-2024 20:12,Natalie Thompson,23-07-2024 14:57,Resolved database deadlock in Notification Service.,Backend API,Notification Service,90.96,50.9,,KB085
INC351806,API latency spike in Database B,"Database B is unresponsive, causing service degradation.",Low,Open,Joseph Frank,21-09-2024 20:45,,,,Online Banking App,Database B,11.39,34.2,,
INC290269,Failed transactions in Database B,"Database B is unresponsive, causing service degradation.",Low,In Progress,Vanessa Harris,05-04-2024 22:56,,,,Online Banking App,Database B,74.97,17.62,,KB052
INC504583,API latency spike in Auth Service,"Auth Service is consuming excessive memory, causing system slowdowns.",Low,In Progress,Kevin Brock,13-02-2025 14:15,,,,Backend API,Auth Service,33.81,74.99,,
INC647389,API latency spike in Auth Service,"Auth Service is consuming excessive memory, causing system slowdowns.",Low,Resolved,Andrea Proctor,22-05-2024 17:39,Andrew Forbes,12-11-2024 12:48,Fixed memory leak in Auth Service.,Online Banking App,Auth Service,49.33,88.89,,KB004
INC024585,Database deadlock in Payment Service,Transactions in Payment Service are failing due to database issues.,Low,In Progress,Robert Schneider,21-08-2024 21:32,,,,Backend API,Payment Service,86.89,42.04,,
INC841120,Auth Service connection timeout,Transactions in Auth Service are failing due to database issues.,High,In Progress,Isaac Hall,13-02-2025 13:14,,,,Backend API,Auth Service,61.94,13.09,,KB047
INC468515,Failed transactions in Payment Service,"Payment Service is consuming excessive memory, causing system slowdowns.",Low,Open,Melissa Barr,20-02-2025 00:56,,,,Online Banking App,Payment Service,87.12,11.94,,
INC309850,Payment Service connection timeout,A deadlock in Payment Service is blocking critical operations.,Critical,In Progress,Crystal Rogers,04-06-2024 13:37,,,,Backend API,Payment Service,50.28,86.7,"INC251754, INC818485",KB006
INC259730,Failed transactions in Auth Service,Connection attempts to Auth Service are timing out.,Low,Resolved,Justin Phillips,03-11-2024 08:47,Mark White,18-12-2024 05:37,Resolved database deadlock in Auth Service.,Mobile Banking App,Auth Service,90.47,86.63,"INC455833, INC862165",
INC798125,High CPU usage on Auth Service,API requests to Auth Service are failing with 500 errors.,Medium,Resolved,Brian Rodriguez,06-12-2024 04:17,Leslie Lopez,27-02-2025 12:00,Restarted Auth Service.,Online Banking App,Auth Service,22.63,69.59,,
INC291208,Memory leak in Database B,A deadlock in Database B is blocking critical operations.,Medium,In Progress,Kimberly Hampton,16-07-2024 18:53,,,,Mobile Banking App,Database B,69.64,60.84,,KB099
INC316364,Failed transactions in Database B,"Database B is unresponsive, causing service degradation.",Low,Resolved,Kristin Fisher,13-01-2025 18:14,Christopher Woodward,04-02-2025 02:46,Resolved database deadlock in Database B.,Online Banking App,Database B,36.81,20.28,"INC321267, INC793113",
INC064888,Notification failure in Notification Service,Transactions in Notification Service are failing due to database issues.,Medium,Open,Timothy Conley,24-11-2024 08:32,,,,Online Banking App,Notification Service,52.55,27.83,,
INC856475,Database deadlock in Database B,Transactions in Database B are failing due to database issues.,Low,In Progress,Nicole Mcgee DVM,05-11-2024 10:12,,,,Online Banking App,Database B,23.85,89.62,,KB071
INC148034,Memory leak in Auth Service,Notifications from Auth Service are not being delivered to users.,Medium,In Progress,Ashley Rogers,16-07-2024 13:02,,,,Backend API,Auth Service,34.15,58.62,"INC286397, INC342429",
INC405788,API latency spike in Auth Service,Transactions in Auth Service are failing due to database issues.,High,In Progress,Amy Stewart,28-02-2025 18:53,,,,Online Banking App,Auth Service,31.19,33.58,,
INC770218,Notification failure in Database B,Notifications from Database B are not being delivered to users.,Medium,Resolved,Susan Farmer,26-07-2024 00:09,Cindy Walker,01-02-2025 19:16,Resolved database deadlock in Database B.,Mobile Banking App,Database B,14.94,49.04,,
INC902291,Payment Service not responding,Users are experiencing high latency when accessing Payment Service.,Low,In Progress,Kim Ballard,10-12-2024 11:23,,,,Backend API,Payment Service,11.69,43.86,"INC634965, INC014236",
INC567358,High CPU usage on Payment Service,Transactions in Payment Service are failing due to database issues.,Medium,In Progress,Ashley Murray,15-10-2024 22:49,,,,Backend API,Payment Service,13.5,39.64,"INC236650, INC890843",KB016
INC029756,Notification failure in Database B,Transactions in Database B are failing due to database issues.,Medium,Resolved,Nancy Flores,22-08-2024 07:05,Timothy Washington,09-12-2024 21:20,Restarted Database B.,Mobile Banking App,Database B,91.65,41.57,,KB097
INC541469,Notification failure in Auth Service,"Auth Service is consuming excessive memory, causing system slowdowns.",Low,Open,Michael Holmes,02-04-2024 12:08,,,,Online Banking App,Auth Service,20.87,38.5,,
INC053229,Notification failure in Database B,A deadlock in Database B is blocking critical operations.,Medium,Open,Peter Cobb,06-10-2024 07:04,,,,Backend API,Database B,48.45,40.29,,
INC115632,Notification failure in Database B,"Database B is consuming excessive memory, causing system slowdowns.",Low,Open,Daniel Jones,19-10-2024 20:42,,,,Backend API,Database B,23.22,34.45,,KB092
INC892961,API latency spike in Notification Service,"Notification Service is consuming excessive memory, causing system slowdowns.",Critical,Open,Nathan Rodriguez,01-11-2024 11:05,,,,Online Banking App,Notification Service,41.83,42.02,,
INC529696,Database B not responding,"Database B is consuming excessive memory, causing system slowdowns.",Critical,Resolved,Jennifer Hendrix,12-11-2024 07:47,Katie Lee,15-03-2025 04:24,Restarted Database B.,Mobile Banking App,Database B,84.82,79.1,,
INC389357,Memory leak in Auth Service,"Auth Service is unresponsive, causing service degradation.",Low,Resolved,Colton Weber,02-06-2024 23:34,Gary Rice,06-11-2024 17:21,Resolved database deadlock in Auth Service.,Mobile Banking App,Auth Service,35.44,33.62,"INC043631, INC344675",KB084
INC933154,Database deadlock in Payment Service,Transactions in Payment Service are failing due to database issues.,High,Resolved,Manuel Davis,26-07-2024 02:32,Marc Moore,10-08-2024 15:38,Restarted Payment Service.,Backend API,Payment Service,65.95,94.3,,KB044
INC175981,Memory leak in Payment Service,Connection attempts to Payment Service are timing out.,Critical,Resolved,Victoria Johnson,19-02-2025 11:48,Shannon Harris,08-03-2025 12:41,Fixed memory leak in Payment Service.,Online Banking App,Payment Service,42.52,20.32,,KB051
INC049452,Database B connection timeout,A deadlock in Database B is blocking critical operations.,Critical,In Progress,Johnny Bradley,08-12-2024 12:35,,,,Backend API,Database B,40.78,72.59,,KB088
INC422501,Database deadlock in Notification Service,Transactions in Notification Service are failing due to database issues.,High,Open,Robert Gonzalez,30-09-2024 14:09,,,,Online Banking App,Notification Service,81.7,47.24,,KB057
INC660803,Notification failure in Auth Service,A deadlock in Auth Service is blocking critical operations.,Low,Resolved,Michael Foley,07-11-2024 02:27,Edward Pham,23-11-2024 07:53,Fixed memory leak in Auth Service.,Mobile Banking App,Auth Service,98.04,88.05,,KB012
INC729454,Payment Service connection timeout,Notifications from Payment Service are not being delivered to users.,Low,Open,Christopher Shaw,06-03-2025 23:49,,,,Backend API,Payment Service,59.08,92.9,,
INC714444,API latency spike in Notification Service,Transactions in Notification Service are failing due to database issues.,Critical,Resolved,Emily Curry,19-05-2024 21:13,Tammy Avila,17-02-2025 15:43,Restarted Notification Service.,Mobile Banking App,Notification Service,96.55,82.4,"INC708132, INC139266",KB009
INC381535,Notification Service connection timeout,Notifications from Notification Service are not being delivered to users.,Low,Open,Joshua Thomas,07-04-2024 15:47,,,,Online Banking App,Notification Service,66.94,23.14,,
INC887141,Failed transactions in Database B,Connection attempts to Database B are timing out.,Low,In Progress,John Reyes,04-01-2025 05:42,,,,Online Banking App,Database B,86.19,51.86,,KB026
INC759357,Notification failure in Database B,Notifications from Database B are not being delivered to users.,Low,Resolved,Kimberly Prince,18-07-2024 09:53,Holly Jackson,06-02-2025 08:51,Resolved database deadlock in Database B.,Mobile Banking App,Database B,43.02,95.93,,
INC996169,Failed transactions in Database B,Notifications from Database B are not being delivered to users.,High,Resolved,Kristen Burke,06-02-2025 07:59,Cynthia Lee,04-03-2025 19:35,Restarted Database B.,Backend API,Database B,12.02,90.11,"INC152859, INC786799",KB041
INC461252,Notification failure in Payment Service,Transactions in Payment Service are failing due to database issues.,Critical,Resolved,Dawn Hart,01-03-2025 01:38,Jason Sanders,09-03-2025 17:12,Restarted Payment Service.,Mobile Banking App,Payment Service,23.56,55.66,,KB044
INC863153,High CPU usage on Auth Service,API requests to Auth Service are failing with 500 errors.,Critical,In Progress,Jennifer Lewis,24-10-2024 06:34,,,,Backend API,Auth Service,53.07,53.36,,KB099
INC358124,API latency spike in Payment Service,"Payment Service is unresponsive, causing service degradation.",Medium,Open,Richard Rosales,10-02-2025 02:24,,,,Backend API,Payment Service,14.99,79.12,,KB025
INC200988,Memory leak in Auth Service,A deadlock in Auth Service is blocking critical operations.,Medium,Resolved,Bryan Thomas,12-11-2024 01:13,Monica Bray,26-01-2025 09:48,Restarted Auth Service.,Backend API,Auth Service,37.48,55.19,,
INC907199,Failed transactions in Notification Service,API requests to Notification Service are failing with 500 errors.,Medium,Open,Ryan White,12-11-2024 23:44,,,,Mobile Banking App,Notification Service,34.28,11.91,,KB045
INC729620,Memory leak in Database B,Transactions in Database B are failing due to database issues.,Low,Resolved,Paul Crawford,09-03-2025 23:26,Penny Costa,21-03-2025 04:45,Restarted Database B.,Backend API,Database B,21.88,56.26,"INC297250, INC042827",KB090
INC704821,Failed transactions in Notification Service,A deadlock in Notification Service is blocking critical operations.,Low,Open,Mr. Justin Rodriguez,26-11-2024 06:43,,,,Backend API,Notification Service,36.13,41.63,,
INC159010,API latency spike in Payment Service,Connection attempts to Payment Service are timing out.,Critical,In Progress,Bridget Thompson,05-01-2025 05:23,,,,Mobile Banking App,Payment Service,10.33,60.99,"INC930294, INC713833",
INC112771,Memory leak in Notification Service,A deadlock in Notification Service is blocking critical operations.,Medium,Resolved,Samantha Brown,26-04-2024 17:56,Jordan Osborn,09-06-2024 05:16,Resolved database deadlock in Notification Service.,Backend API,Notification Service,79.23,14,,KB024
INC796181,High CPU usage on Database B,"Database B is consuming excessive memory, causing system slowdowns.",Low,Open,Jason Edwards,13-05-2024 07:28,,,,Backend API,Database B,28.32,27.17,,KB098
INC659427,Notification failure in Notification Service,"Notification Service is unresponsive, causing service degradation.",High,Resolved,Pamela Wilson,09-05-2024 10:51,James Hansen,11-09-2024 12:54,Restarted Notification Service.,Online Banking App,Notification Service,71.1,57.24,,KB089
INC819986,Auth Service connection timeout,API requests to Auth Service are failing with 500 errors.,High,Open,Tyrone Walker,02-02-2025 10:24,,,,Mobile Banking App,Auth Service,71.58,38.1,,
INC767418,API latency spike in Notification Service,A deadlock in Notification Service is blocking critical operations.,High,In Progress,Kevin Allen,13-09-2024 14:24,,,,Backend API,Notification Service,62.92,52.97,,
INC080885,High CPU usage on Notification Service,Transactions in Notification Service are failing due to database issues.,Low,Open,Richard Curtis,30-03-2024 02:09,,,,Backend API,Notification Service,63.61,60.51,,
INC859245,High CPU usage on Database B,Connection attempts to Database B are timing out.,Low,Resolved,Alexandra Ruiz,28-09-2024 03:07,John Barry,10-12-2024 22:27,Restarted Database B.,Backend API,Database B,41.68,88.71,,
INC010684,Notification failure in Payment Service,Users are experiencing high latency when accessing Payment Service.,Medium,Open,Beth Morgan,15-07-2024 23:49,,,,Backend API,Payment Service,83.19,75.18,,KB002
INC405535,Notification failure in Database B,Notifications from Database B are not being delivered to users.,Medium,Resolved,Debra Rios,14-11-2024 11:53,Lisa Gomez,21-12-2024 02:05,Fixed memory leak in Database B.,Online Banking App,Database B,72.64,70.07,,KB037
INC200487,Auth Service not responding,Transactions in Auth Service are failing due to database issues.,High,Resolved,Alexa Black,26-11-2024 08:09,Tiffany Bell,20-03-2025 19:07,Fixed memory leak in Auth Service.,Backend API,Auth Service,95.57,34.01,,
INC296760,Memory leak in Payment Service,A deadlock in Payment Service is blocking critical operations.,High,Resolved,Michael Donovan,12-05-2024 18:24,Megan Barr,09-06-2024 10:17,Restarted Payment Service.,Mobile Banking App,Payment Service,33.51,52,"INC113634, INC110404",
INC201061,Payment Service not responding,API requests to Payment Service are failing with 500 errors.,Low,In Progress,George Rodriguez,13-12-2024 09:34,,,,Online Banking App,Payment Service,98.04,73.7,,
INC531436,Notification failure in Payment Service,Connection attempts to Payment Service are timing out.,High,Open,Michael Lopez,05-05-2024 01:14,,,,Backend API,Payment Service,45.23,32.58,,KB032
INC397815,Database B not responding,Connection attempts to Database B are timing out.,Low,Open,Jesus Allen,01-03-2025 21:37,,,,Backend API,Database B,26.6,72.37,,KB011
INC471195,Auth Service connection timeout,"Auth Service is consuming excessive memory, causing system slowdowns.",Critical,Open,Julie Jones,23-09-2024 23:33,,,,Mobile Banking App,Auth Service,46.31,58.89,,
INC770057,High CPU usage on Notification Service,A deadlock in Notification Service is blocking critical operations.,Critical,In Progress,Juan Reyes,23-12-2024 13:23,,,,Backend API,Notification Service,89.43,35.72,"INC054414, INC982347",KB064
INC687598,Notification failure in Notification Service,Users are experiencing high latency when accessing Notification Service.,Low,Resolved,John King,02-09-2024 13:34,Virginia Frost,04-02-2025 12:16,Restarted Notification Service.,Online Banking App,Notification Service,10.68,34.49,,
INC657978,Memory leak in Payment Service,"Payment Service is consuming excessive memory, causing system slowdowns.",Medium,In Progress,Angel Rojas,10-02-2025 02:50,,,,Online Banking App,Payment Service,44.38,59.91,"INC260289, INC768135",
INC392827,Failed transactions in Payment Service,A deadlock in Payment Service is blocking critical operations.,Low,Open,Oscar Harvey DDS,29-11-2024 13:20,,,,Mobile Banking App,Payment Service,29.46,96.09,,KB031
INC616782,Failed transactions in Payment Service,"Payment Service is unresponsive, causing service degradation.",Medium,In Progress,David Lara,04-09-2024 22:20,,,,Backend API,Payment Service,23.72,29.9,,
INC216610,Memory leak in Notification Service,Connection attempts to Notification Service are timing out.,Low,Open,Tracy Hill,19-10-2024 12:15,,,,Online Banking App,Notification Service,24.82,84.13,,KB041
INC645622,Database B connection timeout,"Database B is unresponsive, causing service degradation.",Low,Open,Edward Wells,18-08-2024 09:08,,,,Online Banking App,Database B,29.61,82.59,,KB023
INC745111,Failed transactions in Database B,A deadlock in Database B is blocking critical operations.,Low,Resolved,James Ortega,19-02-2025 18:03,Chelsea Powell,08-03-2025 20:01,Fixed memory leak in Database B.,Mobile Banking App,Database B,86.89,49.48,,
INC469470,Memory leak in Payment Service,Users are experiencing high latency when accessing Payment Service.,High,Open,Denise Ballard,08-06-2024 17:20,,,,Mobile Banking App,Payment Service,55.04,39.56,,
INC996184,Memory leak in Database B,A deadlock in Database B is blocking critical operations.,Low,Resolved,Patrick Gibson,24-05-2024 13:04,Lisa Pruitt,29-09-2024 07:39,Restarted Database B.,Mobile Banking App,Database B,78,54.42,,
INC489968,Notification failure in Auth Service,Transactions in Auth Service are failing due to database issues.,Critical,Open,Joseph Rangel,22-09-2024 04:27,,,,Online Banking App,Auth Service,87.54,49.33,,KB066
INC699552,Failed transactions in Payment Service,A deadlock in Payment Service is blocking critical operations.,Low,Resolved,Adam Pierce,05-09-2024 05:00,Colleen Aguilar,14-03-2025 21:38,Restarted Payment Service.,Mobile Banking App,Payment Service,45.14,46.13,,KB096
INC740951,Database deadlock in Auth Service,"Auth Service is consuming excessive memory, causing system slowdowns.",Low,Resolved,Nicholas Lee,31-01-2025 11:13,Emily Bishop,31-01-2025 18:17,Resolved database deadlock in Auth Service.,Backend API,Auth Service,28.58,46.74,,
INC029399,Database deadlock in Notification Service,"Notification Service is unresponsive, causing service degradation.",Medium,Resolved,Linda Barrett,24-03-2024 06:03,Benjamin Rodgers,30-05-2024 20:04,Restarted Notification Service.,Backend API,Notification Service,58.62,57.54,"INC004083, INC851413",KB020
INC555916,Database deadlock in Payment Service,Notifications from Payment Service are not being delivered to users.,Medium,Open,Danielle Reynolds,19-06-2024 08:47,,,,Mobile Banking App,Payment Service,44,64.18,,
INC014431,Notification Service connection timeout,API requests to Notification Service are failing with 500 errors.,Medium,Open,Jerry Jones,30-10-2024 14:55,,,,Online Banking App,Notification Service,15.53,10.14,,KB067
INC119768,Auth Service not responding,"Auth Service is consuming excessive memory, causing system slowdowns.",Low,Resolved,Jon Moore,28-09-2024 13:14,Mark Jordan,24-10-2024 00:56,Fixed memory leak in Auth Service.,Mobile Banking App,Auth Service,87.23,56.03,,KB003
INC850244,Memory leak in Auth Service,Connection attempts to Auth Service are timing out.,Low,In Progress,Ashley Marsh,27-07-2024 13:36,,,,Backend API,Auth Service,51.45,78.91,,
INC067816,Auth Service not responding,Users are experiencing high latency when accessing Auth Service.,Medium,Open,Donald Robertson,10-11-2024 15:05,,,,Backend API,Auth Service,67.7,15.92,,KB096
INC195350,High CPU usage on Auth Service,Users are experiencing high latency when accessing Auth Service.,Low,In Progress,Larry Liu,21-06-2024 08:56,,,,Backend API,Auth Service,47.44,24.45,,
